varname	groupname
Urtica pilulifera	Herbs
Trachycarpus	Trees and shrubs
Stomata	Vegetative microfossils
Rosa/Prunus	Trees and shrubs
Poterium	Trees and shrubs
Rubus idaeus	Trees and shrubs
Endymion	Herbs
Lycopodium alpinum	Vascular cryptogams (Pteridophytes)
Cistus-type undiff.	Trees and shrubs
Lavandula	Trees and shrubs
Lavandula stoechas-type	Trees and shrubs
Pseudoschizaea circula	Algae
Pleospora	Fungi
Alternaria	Fungi
Buxus sempervirens-type	Trees and shrubs
Daphne gnidium-type	Dwarf shrubs
Frangula alnus-type	Trees and shrubs
Ribes nigrum-type	Trees and shrubs
Globularia	Herbs
Globularia alypum-type	Herbs
Lemna minor-type	Aquatics
Nuphar lutea-type	Aquatics
Asplenium-type undiff.	Vascular cryptogams (Pteridophytes)
Asplenium trichomanes	Vascular cryptogams (Pteridophytes)
Riccardia pinguis-type	Bryophytes
Coniochaeta	Fungi
Coniochaeta cf. C. ligniaria	Fungi
Hystrichosphaeropsis	Dinoflagellates
Convolvulus arvensis-type	Herbs
Utricularia vulgaris-type	Aquatics
Fagopyrum esculentum-type	Herbs
Quantity of sample	Nonpollen
Quantity of spike	Nonpollen
Number of spike added	Nonpollen
Volume or mass examined	Nonpollen
Total concentration	Nonpollen
Ranunculus sect. Batrachium	Aquatics
Corylus avellana-type	Trees and shrubs
Pteropsida undiff.	Vascular cryptogams (Pteridophytes)
Lycopodium alpinum/complanatum	Vascular cryptogams (Pteridophytes)
Solidago virgaurea-type	Herbs
cf. Astragalus glycyphyllos	Indeterminables and unknowns
Silene dioica	Herbs
Isoetes echinospora	Aquatic Pteridophyta
Gentianella detonsa	Herbs
Lastrea phegopteris	Vascular cryptogams (Pteridophytes)
Isoetes cf. I. lacustris	Aquatic Pteridophyta
Acer negundo	Trees and shrubs
Ulmus campestris	Trees and shrubs
Sparganium/Typha	Helophytes
Coriaria	Trees and shrubs
Ranunculus lanuginosus	Herbs
Stellaria holostea-type	Herbs
Cyperus capitatus	Helophytes
Ophioglossum lusitanicum-type	Vascular cryptogams (Pteridophytes)
Ophioglossum lusitanicum	Vascular cryptogams (Pteridophytes)
Chironomidae	Invertebrates
Ranunculus batrachium	Aquatics
Osmunda	Vascular cryptogams (Pteridophytes)
Osmundaceae	Vascular cryptogams (Pteridophytes)
Cardueae undiff.	Herbs
Cerealia-type/Triticum	Herbs
Daucaceae	Herbs
Silenaceae	Herbs
Humulus/Cannabis-type	Herbs
Viciaceae	Herbs
Lycopodium cf. L. complanatum	Vascular cryptogams (Pteridophytes)
Potentilla/Comarum	Herbs
Vacciniaceae	Dwarf shrubs
Valeriana cf. V. officinalis	Herbs
Viola canina-type	Herbs
Ephedraceae	Trees and shrubs
Juniperus/Cupressaceae	Trees and shrubs
Ulmaceae	Trees and shrubs
Acanthus-type	Herbs
Anisosciadium	Herbs
Bifora radians-type	Herbs
Ferula/Bunium-type	Herbs
Turgenia	Herbs
Arceuthobium	Trees and shrubs
Carthamus-type	Herbs
Gundelia	Herbs
Gundelia-type	Herbs
Centaurea dealbata-type	Herbs
Pinaceae: reworked	Trees and shrubs
Bongardia-type	Trees and shrubs
Cerinthe minor-type	Herbs
Cynoglossum creticum-type	Herbs
Heliotropium	Herbs
Phacelia	Herbs
Phacelia tanacetifolia-type	Herbs
Dianthus/Petrorhagia	Herbs
Minuartia verna-type	Herbs
Cuscuta gronovii-type	Herbs
Frankenia-type	Herbs
Gladiolus-type	Herbs
Iridaceae undiff.	Herbs
Leontice	Herbs
Tulipa	Herbs
Limonium vulgare-type	Herbs
Atraphaxis-type	Trees and shrubs
Pteropyrum-type	Herbs
Rheum ribes	Herbs
Ranunculus constantinopolitanus-type	Herbs
Ranunculus muricatus-type	Herbs
Ranunculus nivalis-type	Herbs
Rumex acris-type	Indeterminables and unknowns
Rumex alpinus-type	Herbs
Rhus-type	Trees and shrubs
Amygdalus-type	Trees and shrubs
Typha minima-type	Helophytes
Zannichelliaceae	Aquatics
Zannichellia	Aquatics
Zannichellia-type	Aquatics
Characeae: oospores	Macrofossils
Aconitum-group	Herbs
Fagonia	Herbs
Fagonia-type	Herbs
Leontice-type	Herbs
Actaea spicata	Herbs
Fallopia-type	Herbs
Ranunculus asiaticus	Herbs
Concentration of marker	Nonpollen
Adonis aestivalis-type	Herbs
Alkanna-type	Herbs
Liliiflorae	Herbs
Xanthium spinosum-type	Herbs
Andrachne telephioides	Trees and shrubs
Androsace elongata-type	Herbs
Angelica archangelica	Herbs
Angelica palustris	Herbs
Arenaria serpyllifolia-type	Herbs
Salvinia-type	Aquatic Pteridophyta
Betula pubescens-type	Trees and shrubs
Polygonum (tricolporate)	Herbs
Polygonum convolvulus/P. dumetorum	Herbs
Blackstonia perfoliata	Herbs
Buglossoides-type	Herbs
Triticum/Avena-type	Herbs
Achillea/Aster-type	Herbs
Typha/Sparganium-type	Helophytes
Statice	Herbs
Trilete fern spores	Vascular cryptogams (Pteridophytes)
Homogyne-type	Herbs
Homogyne	Herbs
Ligusticum mutellina	Herbs
Primula hirsuta-type	Herbs
Sarothamnus scoparius	Trees and shrubs
Trifolium alpinum-type	Herbs
Lycopodium (spores/tablet)	Nonpollen
Lycopodium tablets (number)	Nonpollen
Doronicum	Herbs
Moehringia-type	Herbs
Medicago falcata-type	Herbs
Seseli-type	Herbs
Arnica-type	Herbs
Tussilago farfara	Herbs
Helianthemum alpestre-type	Herbs
Pollen, cf. upland herbs	Indeterminables and unknowns
Chaerophyllum-type	Herbs
Aethusa-type	Herbs
Laserpitium latifolium-type	Herbs
Helianthus	Herbs
Sium latifolium-type	Herbs
Sample dry mass (g)	Nonpollen
Sample surface (cm²)	Nonpollen
Anthriscus cerefolium	Herbs
Aconitum napellus-type	Herbs
Juglans nigra	Trees and shrubs
Rumex alpestris	Herbs
Selinum carvifolia/pyrenaeum	Herbs
Taraxacum officinale-group	Herbs
Type 114	Macrofossils
Type 140	Fungi
Ulmus glabra-type	Trees and shrubs
Cannabis/Humulus-type	Herbs
Anemone nemorosa/A. ranunculoides	Herbs
Anthriscus nitida/sylvestris	Herbs
Betula pendula/pubescens	Trees and shrubs
Carduus/Cirsium	Herbs
Geranium pratense-group	Herbs
Hordeum vulgare-type	Herbs
Hypericum perforatum-group	Herbs
Knautia arvensis-type	Herbs
Lysimachia terrestris/thyrsiflora	Herbs
Moehringia trinervia-group	Herbs
Narthecium ossifragum-type	Herbs
Papaver dubium	Herbs
Pimpinella major/P. saxifraga	Herbs
Quercus robur-group	Trees and shrubs
Ranunculus aconitifolius	Herbs
Ranunculus flammula-group	Helophytes
Saponaria	Herbs
Saponaria officinalis	Herbs
Silene vulgaris-group	Herbs
Sphagnum-type	Vascular cryptogams (Pteridophytes)
Tilia cordata/platyphyllos	Trees and shrubs
Vitaceae	Trees and shrubs
Vitis sylvestris/vinifera	Trees and shrubs
Cerastium fontanum-group	Herbs
Cuscuta europaea	Herbs
Lathyrus/Vicia	Herbs
Laserpitium prutenicum	Herbs
Rumex sanguineus	Herbs
Rumex palustris-type	Herbs
Ammi-type	Herbs
Anethum-type	Herbs
Falcaria-type	Herbs
Trinia glauca	Herbs
Coelastrum	Algae
Lycopodium inundatum	Vascular cryptogams (Pteridophytes)
Hippocrepis comosa	Herbs
Potamogeton subg. Eupotamogeton-type	Aquatics
Taxus baccata: stomata	Vegetative microfossils
Athamanta cretensis	Herbs
Lycopodium complanatum	Vascular cryptogams (Pteridophytes)
Lonicera alpigena	Trees and shrubs
Deposition time (yr/cm)	Nonpollen
Rosaceae tree	Trees and shrubs
Ammi majus	Herbs
Cyclamen hederifolium	Herbs
Foeniculum vulgare subsp. vulgare	Herbs
Vincetoxicum	Herbs
Trichothyrium	Fungi
Ranunculus lingua-type	Herbs
Mineral particles >20µm	Nonpollen
Turgenia latifolia	Herbs
Lonicera coerulea	Trees and shrubs
Holosteum umbellatum	Herbs
Ligusticum mutellinoides-type	Herbs
Rhododendron, scale	Macrofossils
Geum montanum-type	Herbs
Paradisia liliastrum	Herbs
Comarum-type	Herbs
Pediastrum duplex var. duplex	Algae
Pediastrum simplex var. simplex	Algae
Pediastrum boryanum var. boryanum sensu lato	Algae
Pediastrum duplex var. rugulosum	Algae
Reworked pollen	Pre-Quaternary type
Coniferae undiff.	Trees and shrubs
Epimedium	Herbs
Myrrhis odorata	Herbs
Diphasiastrum complanatum-type	Vascular cryptogams (Pteridophytes)
Trilete psilate	Vascular cryptogams (Pteridophytes)
Thalictrum aquilegiifolium	Herbs
Pinus non-cembra	Trees and shrubs
Solidago virgaurea	Herbs
Artemisia campestris	Herbs
Deschampsia	Herbs
Thalictrum minus-type	Herbs
Thalictrum minus	Herbs
Aconitum non-napellus	Herbs
Crepis paludosa	Herbs
Crepis aurea	Herbs
Andryala-type	Herbs
Hieracium murorum	Herbs
Hieracium pilosella	Herbs
Hieracium intybaceum	Herbs
Leontodon-type	Herbs
Leontodon helveticus	Herbs
Leontodon hispidus	Herbs
Hypochaeris uniflora	Herbs
Pimpinella major	Herbs
Peucedanum ostruthium	Herbs
Astrantia minor	Herbs
Prenanthes purpurea	Herbs
Rhododendron-type	Dwarf shrubs
Rhododendron ferrugineum	Dwarf shrubs
Silene nutans	Herbs
Leucanthemum vulgare-type	Herbs
Trifolium alpinum	Herbs
Trifolium badium	Herbs
Trifolium pallescens	Herbs
Potentilla grandiflora	Herbs
Carlina acaulis	Herbs
Minuartia sedoides	Herbs
Sagina saginoides	Herbs
Salix helvetica-type	Trees and shrubs
Salix retusa-type	Trees and shrubs
Artemisia genipi/A. mutellina	Herbs
Chrysanthemum alpinum	Herbs
Homogyne alpina	Herbs
Cirsium spinosissimum	Herbs
Ranunculus montanus-type	Herbs
Gentianella germanica-type	Herbs
Gentianella ramosa	Herbs
Potentilla aurea	Herbs
Campanula barbata	Herbs
Phyteuma hemisphaericum	Herbs
Minuartia verna	Herbs
Aster bellidiastrum	Herbs
Cerastium uniflorum	Herbs
Epilobium fleischeri	Herbs
Achillea moschata	Herbs
Silene rupestris	Herbs
Gnaphalium supinum	Herbs
Soldanella pusilla	Herbs
Alchemilla pentaphylla	Herbs
Cerastium cerastoides	Herbs
Arenaria biflora	Herbs
Trichophorum caespitosum	Helophytes
Eriophorum angustifolium/E. vaginatum	Helophytes
Eriophorum scheuchzeri	Helophytes
Poa/Festuca-type	Herbs
Anthoxanthum	Herbs
Nardus	Herbs
Avena versicolor	Herbs
Alnus non-viridis	Trees and shrubs
Ranunculus glacialis-type	Herbs
Ranunculus glacialis	Herbs
Cornus undiff.	Trees and shrubs
Diphasiastrum complanatum	Vascular cryptogams (Pteridophytes)
Fagopyrum undiff.	Herbs
Thalictrum undiff.	Herbs
Thalictrum lucidum	Herbs
Cornus subg. Kraniopsis	Trees and shrubs
Agrostemma-type	Herbs
Lythraceae undiff.	Herbs
Convolvulaceae undiff.	Herbs
Acer platanoides	Trees and shrubs
Hepaticae	Bryophytes
Anthocerotales (type 1)	Bryophytes
Anthocerotales (type 2)	Bryophytes
Anthocerotales (type 3)	Bryophytes
Combretaceae	Trees and shrubs
Liliopsida monocolpate	Herbs
Typha cf. T. domingensis	Helophytes
Azolla nilotica	Aquatic Pteridophyta
Mimusops	Dwarf shrubs
Ocimum	Herbs
Peristrophe	Herbs
Peristrophe cf. P. bicalyculata	Herbs
Typha cf. T. elephantina	Helophytes
Chenopodiaceae/Amaranthaceae undiff.	Herbs
Pinaceae undiff.	Trees and shrubs
Aerva	Herbs
Acer undiff.	Trees and shrubs
Betula sect. Betula	Trees and shrubs
Sison amomum	Herbs
Torilis nodosa	Herbs
Levisticum officinale	Herbs
Pollen, cf. upland herbs undiff.	Indeterminables and unknowns
Convallaria majalis	Herbs
Saxifraga paniculata-type	Herbs
Streptopus amplexifolius	Herbs
Helleborus viridis	Herbs
Silene pratensis	Herbs
Rhaponticum scariosum	Herbs
Glyceria	Herbs
Hordelymus	Herbs
Pulmonaria obscura	Herbs
Diphasiastrum-type	Vascular cryptogams (Pteridophytes)
Dryopteris cf. D. cristata	Vascular cryptogams (Pteridophytes)
Calluna vulgaris: stomata	Vegetative microfossils
Sorbus aria-type	Trees and shrubs
Hordeum/Triticum-type	Herbs
Mentha/Thymus-type	Herbs
Polemonium coeruleum	Herbs
cf. Calluna: stomata	Vegetative microfossils
Coniferae: stomata	Vegetative microfossils
Capparaceae	Trees and shrubs
Caesalpinia-type	Trees and shrubs
Hagenia abyssinica	Trees and shrubs
Hyphaene	Trees and shrubs
Hyphaene cf. H. thebaica	Trees and shrubs
Randia	Trees and shrubs
Sapotaceae	Trees and shrubs
Cardiospermum	Herbs
Cardiospermum cf. C. halicacabum	Herbs
Ophioglossum cf. O. polyphyllum	Vascular cryptogams (Pteridophytes)
Syzygium-type	Trees and shrubs
Laboratory number	Nonpollen
Pirus-type	Trees and shrubs
Tozzia alpina	Herbs
Onopordum	Herbs
Setaria	Herbs
Helianthemum alpestre	Herbs
Plantago montana	Herbs
Centaurea jacea/C. scabiosa	Herbs
Umbelliferae/Apiaceae	Herbs
Filipendula cf. F. ulmaria	Herbs
Polygonum minus-type	Herbs
Cytisus/Genista-type	Trees and shrubs
Genista/Cytisus-type	Trees and shrubs
Vicia/Lathyrus-type	Herbs
Arcella-type	Rhizopods
Plantago sp.	Herbs
Pinaceae pro parte	Trees and shrubs
Androsaceae	Herbs
Anemone/Pulsatilla	Herbs
Filicales	Vascular cryptogams (Pteridophytes)
Hedysarum humile-type	Herbs
Dryas	Herbs
Amphitrema flavum-type	Rhizopods
Assulina-type	Rhizopods
Potentilla erecta	Herbs
Polygonum sp.	Herbs
Asperula	Herbs
Comarum	Herbs
Plantago alpinus	Herbs
Parnassia/Nuphar	Indeterminables and unknowns
Anemone/Pulsatilla-type	Herbs
Plantago intermedia-type	Herbs
Salvia officinalis-type	Herbs
Rosmarinus	Trees and shrubs
Pinus maritima	Trees and shrubs
Meum	Herbs
Botryococcus (5)	Algae
Botryococcus (10)	Algae
Botryococcus (50)	Algae
Drepanocladus: leaves	Macrofossils
Juniperus communis: stomata	Vegetative microfossils
Onosma/Echium-type	Herbs
Volume of sample (cm3)	Nonpollen
Volume of spike (number tablets)	Nonpollen
Asteraceae Liguliflorae	Herbs
Asteraceae Tubuliflorae	Herbs
Concentration of Lycopodium	Nonpollen
Sedimentation rate (mm/year)	Nonpollen
Varve by sample	Nonpollen
Poaceae pro parte	Herbs
Ranunculaceae pro parte	Herbs
Fabaceae pro parte	Herbs
Caryophyllaceae pro parte	Herbs
Rosaceae pro parte	Trees and shrubs
Ranunculus acer-type	Herbs
Asteroideae pro parte	Herbs
Melampyrum pratense	Herbs
Euphorbia cf. E. palustris	Herbs
Liliaceae pro parte	Herbs
Lamiaceae pro parte	Herbs
Polypodiaceae pro parte	Vascular cryptogams (Pteridophytes)
Ballota-type	Herbs
Stachys sylvatica	Herbs
Brassicaceae undiff.	Herbs
Poaceae undiff. <40µm	Herbs
Poaceae undiff. >40µm	Herbs
Hornungia	Herbs
Charcoal <25µm	Charcoal
Charcoal >25µm	Charcoal
Liguliflorae	Herbs
Tubuliflorae	Herbs
Poaceae large	Herbs
Mounted volume (0.001 ml)	Nonpollen
Sample number	Nonpollen
Number of counted lines	Nonpollen
Total number of lines	Nonpollen
Size of cover glass (mm)	Nonpollen
Volume of residue (ml)	Nonpollen
Hedera-type	Trees and shrubs
Robinia	Trees and shrubs
Morus alba	Trees and shrubs
Verbena-type	Herbs
Rumex palustris-group	Herbs
Ustulina	Fungi
Fallopia	Herbs
Myriophyllum-type	Aquatics
Hieracium-type	Herbs
Erica: seed epidermis	Vegetative microfossils
Juncus: seed	Macrofossils
Juncus effusus-type: seed	Macrofossils
cf. Peucedanum	Herbs
Maianthemum/Paris	Herbs
Salvia-type	Herbs
Viscum album sensu lato	Trees and shrubs
Viola tricolor-type	Herbs
Conium maculatum-type	Herbs
Pimpinella saxifraga	Herbs
Saponaria officinalis-type	Herbs
Sium erectum-type	Herbs
Aethusa cynapium-type	Herbs
Carum	Herbs
Caucalis platycarpos	Herbs
Foeniculum vulgare	Herbs
Lamium album-type	Herbs
Meum athamanticum-type	Herbs
Ruta graveolens	Trees and shrubs
Scrophulariaceae pro parte	Herbs
Pteridophyta: sporangia	Vegetative microfossils
Berula erecta-type	Helophytes
Datura stramonium	Herbs
Juncus squarrosus: seed	Macrofossils
Aphanes	Herbs
Ballota	Herbs
Campanula trachelium-type	Herbs
Chaenorhinum minus	Herbs
Descurainia sophia	Herbs
Callitriche stagnalis	Aquatics
Callitriche stagnalis-type	Aquatics
Phlomis-type	Herbs
Fabaceae/Lathyrus-type	Herbs
Oenotheraceae	Herbs
Fabaceae/Lotus-type	Herbs
Fabaceae/Onobrychis-type	Herbs
Wet weight (g)	Nonpollen
Tilia: stomata	Vegetative microfossils
Alnus: stomata	Vegetative microfossils
Cryptomeria-type	Trees and shrubs
Cryptomeria	Trees and shrubs
Foraminifera	Invertebrates
Statice limonium	Herbs
Fagus: leaves	Macrofossils
Adenostyles-type	Herbs
Fungi	Fungi
Type 571	Fungi
Ephedra alata	Trees and shrubs
Quercus cf. Q. rotundifolia	Trees and shrubs
Quercus cf. Q. canariensis	Trees and shrubs
Cedrus cf. C. atlantica	Trees and shrubs
Cistus cf. C. salvifolius	Trees and shrubs
Rumex sanguineus-type	Herbs
Salvia pratensis-group	Herbs
Rosmarinus-type	Trees and shrubs
Pulsatilla-type	Herbs
Caryophyllaceae indeterminata	Herbs
Ranunculaceae indeterminata	Herbs
Rosaceae indeterminata	Trees and shrubs
Filicinae undiff.	Vascular cryptogams (Pteridophytes)
Fabaceae indeterminata	Herbs
Consolida ambigua	Herbs
Indeterminata	Indeterminables and unknowns
Quercus robur/Q. pubescens-type	Trees and shrubs
Quercus pubescens	Trees and shrubs
Cotinus	Trees and shrubs
cf. Allium vineale-type	Herbs
Linum sp.	Herbs
Scilla	Herbs
Compositae indeterminata	Herbs
Dipsaceae indeterminata	Herbs
Euphorbiaceae undiff.	Herbs
Liliaceae indeterminata	Herbs
Linaceae undiff.	Herbs
Plantago indeterminata	Herbs
Indeterminata/Varia	Indeterminables and unknowns
Pediastrum campanulatum	Algae
Botryococcus neglectus	Algae
Viola riviniana/V. canina	Herbs
Viola riviniana	Herbs
cf. Samolus	Indeterminables and unknowns
Aphanes-type	Herbs
Araliaceae	Trees and shrubs
Araliaceae indeterminata	Trees and shrubs
Phaeoceros	Bryophytes
Tilia indeterminata	Trees and shrubs
Polygonum hydropiper	Herbs
Alchemilla arvensis	Herbs
Rumex/Eurumex-type	Herbs
Cerealia indeterminata	Herbs
Potamogeton natans-type	Aquatics
Potamogeton eupotamogeton-type	Aquatics
Ranunculus batrachium-type	Aquatics
Sambucus ebulus-type	Trees and shrubs
Dryopteris austriaca	Vascular cryptogams (Pteridophytes)
Dryopteris linnaeana	Vascular cryptogams (Pteridophytes)
Trilete spores (verrucate)	Bryophytes
Asteraceae subf. Asteroideae undiff.	Herbs
Asteraceae subf. Cichorioideae undiff.	Herbs
Fraxinus angustifolia-type	Trees and shrubs
Quercus deciduous-type	Trees and shrubs
Quercus evergreen-type	Trees and shrubs
Quercus pubescens/Q. robur-type	Trees and shrubs
Quercus deciduous	Trees and shrubs
Orlaya-type	Herbs
Aruncus/Spiraea	Herbs
Spiraea-type	Trees and shrubs
Exotic concentration	Nonpollen
Exotic	Nonpollen
Typha/Sparganium	Helophytes
Achillea/Matricaria	Herbs
Bellis/Senecio	Herbs
Labiatae cf. Scutellaria	Herbs
Lysimachia/Anagallis	Herbs
Rosaceae reticulate-type	Herbs
Rosaceae/Potentilla	Herbs
Consolida regalis-type	Herbs
Coniferae (vesiculate)	Trees and shrubs
Laserpitium latifolium	Herbs
Centaurea sinaica	Herbs
Lycopus/Mentha longifolia	Herbs
Ostrya carpinifolia	Trees and shrubs
Scandix pecten-veneris-type	Herbs
Selinum carvifolia-type	Herbs
Linum alpinum-type	Herbs
Teucrium chamaedrys-type	Herbs
Teucrium chamaedrys	Herbs
Ericales indeterminata	Dwarf shrubs
Marker (added)	Nonpollen
Compositae subf. Asteroideae indeterminata	Herbs
Anchusa arvensis-type	Herbs
Copepoda: spermatophors	Microcrustaceans
Viola odorata-type	Herbs
Marker (counted)	Nonpollen
Triloculina frigida	Rhizopods
Valeriana sambucifolia	Herbs
Helianthemum alpinum	Herbs
Sparganium sp.	Helophytes
Lychnis flos-cuculi-type	Herbs
Salvia verticillata	Herbs
Saxifraga oppositifolia-group	Herbs
Vicia tetrasperma	Herbs
Juncus effusus: seed	Macrofossils
Juncus articulatus-type: seed	Macrofossils
Juncus acutiflorus/J. articulatus: seed	Macrofossils
Apium graveolens	Herbs
Chaerophyllum hirsutum/C. temulentum	Herbs
Conium	Herbs
Euphorbia exigua	Herbs
Gentiana cruciata	Herbs
Geranium robertianum-type	Herbs
Geranium robertianum/G. rotundifolium	Herbs
Portulaca oleracea	Herbs
Reseda luteola	Herbs
Origanum/Thymus	Herbs
Alnus indeterminata	Trees and shrubs
Lycopodium indeterminata	Vascular cryptogams (Pteridophytes)
Pinus indeterminata	Trees and shrubs
Rumex sp.	Herbs
Urtica indeterminata	Herbs
Betula indeterminata	Trees and shrubs
Filicales triletes	Vascular cryptogams (Pteridophytes)
Filicales triletes undiff.	Vascular cryptogams (Pteridophytes)
Filicales monoletes undiff.	Vascular cryptogams (Pteridophytes)
Ephedra intermedia-type	Trees and shrubs
Ephedra major-type	Trees and shrubs
Bryonia-type	Herbs
Moltkiopsis-type	Herbs
Limonium-type	Herbs
Callidina	Rotifera (Rotifers)
Ranunculus indeterminata	Herbs
Plantago alpina/P. maritima	Herbs
Fabaceae/Trifolium-type	Herbs
cf. Tamarix	Indeterminables and unknowns
Pteranthus	Herbs
Lathyrus filiformis	Herbs
Polygonum aquatic	Aquatics
Classopollis	Pre-Quaternary type
Symphoricarpos	Trees and shrubs
Amelanchier	Trees and shrubs
Cachrys-type	Herbs
Polygonum amplexicaule	Herbs
Cucumis	Herbs
Cucumis melo	Herbs
Chrozophora-type	Herbs
Chrozophora	Herbs
Scabiosa palestina	Herbs
Coris	Herbs
Croton tinctorium	Herbs
Corydalis pumila-type	Herbs
Lathyrus/Vicia-type	Herbs
Ornithogalum umbellatum-type	Herbs
Turgenia latifolia-type	Herbs
Pedicularis verticillata-type	Herbs
Asteraceae subf. Asteroideae	Herbs
Isoetes undiff.	Aquatic Pteridophyta
Ostrya/Carpinus orientalis-type	Trees and shrubs
Rumex/Oxyria-type	Herbs
Sanguisorba/Poterium	Herbs
Calluna vulgaris-type	Dwarf shrubs
Centaurea montana/C. triumfetti	Herbs
Herniaria glabra-type	Herbs
Carpinus/Ostrya-type	Trees and shrubs
Rhamnus catharticus-type	Trees and shrubs
Crataegus monogyna-type	Trees and shrubs
Hottonia palustris-type	Aquatics
Pedicularis oederi-type	Herbs
Anarrhinum	Herbs
Apiaceae indeterminata	Herbs
Asphodelus lutea	Herbs
Castanea/Sedum	Indeterminables and unknowns
Cerealia/Secale	Herbs
Cistus indeterminata	Trees and shrubs
Cistus populifolius	Trees and shrubs
Daphne gnidium	Dwarf shrubs
Erica indeterminata	Dwarf shrubs
Fumana thymifolia	Herbs
Halimium halimifolium	Herbs
Plantaginaceae indeterminata	Herbs
cf. Primula	Indeterminables and unknowns
Quercus indeterminata	Trees and shrubs
Reseda luteola-type	Herbs
Reseda-type	Herbs
Smilax aspera	Herbs
Labiatae (tricolpate)	Herbs
Stachys glutinosa-type	Herbs
Trifolium hybridum-type	Herbs
Ulex/Cytisus-type	Trees and shrubs
Apium inundatum	Herbs
Bidens sensu lato	Herbs
Erica cinerea/E. ciliaris	Dwarf shrubs
Tuberaria guttata	Herbs
Pteropsida monolete undiff.	Vascular cryptogams (Pteridophytes)
Sporomorphs	Taxonomically undifferentiated spores
Quercus canariensis	Trees and shrubs
Isoete spore(s)	Aquatic Pteridophyta
Ericaceae pro parte	Dwarf shrubs
Betulaceae pro parte	Trees and shrubs
Helianthemum pro parte	Herbs
Cyperaceae pro parte	Helophytes
Myriophyllum indeterminata	Aquatics
Pinaceae indeterminata	Trees and shrubs
Potentilla indeterminata	Herbs
Bryonia dioica	Herbs
Prunella vulgaris-type	Herbs
Morus-type	Trees and shrubs
cf. Lithospermum	Indeterminables and unknowns
Pediastrum spp.	Algae
Redeposited pollen	Pre-Quaternary type
Trilete spores (reworked)	Pre-Quaternary type
Indeterminable: hidden	Indeterminables and unknowns
Concentricystes	Algae
Iridaceae/Amaryllidaceae	Herbs
Phlomis cf. fruticosa	Herbs
Ranunculus acer/R. repens	Herbs
Aquatics	Indeterminables and unknowns
Bryophytes	Bryophytes
Chlorophyta	Algae
Cyanobacteria	Cyanobacteria
Chara: hairs	Vegetative microfossils
Eumycota	Fungi
Fungus	Fungi
Erica: seed	Macrofossils
Herbs	Indeterminables and unknowns
Hirudinea (leeches)	Hirudinea (leeches)
Indeterminables and unknowns	Indeterminables and unknowns
Lonicera cf. periclymenum	Trees and shrubs
Macrofossils	Indeterminables and unknowns
Microcrustaceans	Microcrustaceans
Nematoda (roundworms)	Nematoda (roundworms)
Humulus/Cannabis <26µm	Herbs
Platyhelminthes (flatworms)	Platyhelminthes (flatworms)
Pre-Quaternary type	Pre-Quaternary type
Rhizopods	Rhizopods
Rotifera (Rotifers)	Rotifera (Rotifers)
Taxonomically undiff. spores	Taxonomically undifferentiated spores
Trees and shrubs	Indeterminables and unknowns
Humulus/Cannabis >26µm	Herbs
Vascular cryptogams (Pteridophytes)	Indeterminables and unknowns
Mesozoic: reworked	Pre-Quaternary type
Dodonaea	Trees and shrubs
Daphne-type	Dwarf shrubs
Fumaria-type	Herbs
Potentilla micrantha-type	Herbs
Plantago maritima-type sensu lato	Herbs
Plantago maritima-type sensu stricto	Herbs
Lycopodium cf. L. selago	Vascular cryptogams (Pteridophytes)
Lycopodium sp.	Vascular cryptogams (Pteridophytes)
Centaurea sp.	Herbs
cf. Cistus	Indeterminables and unknowns
Compositae pro parte	Herbs
Polygonum pro parte	Herbs
Plantago pro parte	Herbs
Varia/Indeterminable	Indeterminables and unknowns
Cystopteris indeterminata	Vascular cryptogams (Pteridophytes)
Agrimonia eupatoria-type	Herbs
Arctium lappa-type	Herbs
Ballota nigra-type	Herbs
Empetrum/Ledum	Dwarf shrubs
Eupatorium cannabinum-type	Herbs
Larix decidua-type	Trees and shrubs
Omphalodes-type	Herbs
Urtica/Parietaria	Herbs
Viburnum opulus/V. tinus	Trees and shrubs
Genista/Ulex-type	Trees and shrubs
Sordaria-type	Fungi
Sordaria sp.	Fungi
Chaetomium sp.	Fungi
Podospora sp.	Fungi
Type 18	Fungi
Type 90	Fungi
Gelasinospora sp.	Fungi
Cercophora	Fungi
Sporormiella sp.	Fungi
Type 4	Fungi
Coniochaeta xylariispora	Fungi
Type 6	Fungi
Pleospora-type	Fungi
Pleospora sp.	Fungi
Type 359	Fungi
Quercus faginea	Trees and shrubs
Damasonium	Helophytes
Rumex conglomeratus	Herbs
Linum maritimum-type	Herbs
Fedia	Herbs
Selaginella denticulata	Vascular cryptogams (Pteridophytes)
Myriophyllum alterniflorum-type	Aquatics
Polygonum hydrolapathum-type	Herbs
Fraxinus xanthoxyloides-type	Trees and shrubs
Polygonatum odoratum-type	Herbs
Ruscus	Trees and shrubs
Solanum sodomeum	Herbs
Simethis	Herbs
Sambucus/Viburnum-type	Trees and shrubs
Polycarpon-type	Herbs
Typha (tetrad)	Helophytes
Odontites/Euphrasia	Herbs
Veronica/Reseda	Indeterminables and unknowns
Parthenocissus quinquefolia	Trees and shrubs
Draba	Herbs
Gaeumannomyces	Fungi
Mycodalyelia armigera	Fungi
Lithospermum arvense-type	Herbs
Centaurea alpina-type	Herbs
Sparganium/Typha angustifolia-type	Helophytes
